time,open,high,low,close
2020-01-01T21:30:00Z,436.22,438.35,434.91,436.82
2020-01-02T21:30:00Z,436.82,448.19,436.82,443.35
2020-01-05T21:30:00Z,443.35,451.06,443.15,444.63
2020-01-06T21:30:00Z,444.63,444.63,439.8,442.35
2020-01-07T21:30:00Z,442.35,453.16,429.14,431.04
2020-01-08T21:30:00Z,431.09,433.27,427.64,430.6
2020-01-09T21:30:00Z,430.65,432.03,429,430.12
2020-01-12T21:30:00Z,426.38,427.08,425.88,426.16
2020-01-13T21:30:00Z,427.72,427.72,426.68,426.96
2020-01-14T21:30:00Z,425.45,427.17,425.45,426.84
2020-01-15T21:30:00Z,425.84,426.18,425.56,425.83
2020-01-16T21:30:00Z,425.84,427.66,425.14,427.08
2020-01-20T21:30:00Z,426.91,428.31,423.08,424.94
2020-01-21T21:30:00Z,425.14,425.25,417.7,418.73
2020-01-22T21:30:00Z,418.53,418.53,410.71,413.4
2020-01-23T21:30:00Z,413.65,415.11,405.08,406.47
2020-01-26T21:30:00Z,406.27,406.27,395.78,397.96
2020-01-27T21:30:00Z,398.34,402.31,395.58,400.29
2020-01-28T21:30:00Z,400.39,403.98,397.5,398.48
2020-01-29T21:30:00Z,398.75,398.75,390.02,393.24
2020-01-30T21:30:00Z,392.02,396.96,386.86,388.47
2020-02-02T21:30:00Z,388.8,389.36,380.13,381.06
2020-02-03T21:30:00Z,381.35,388,380.05,380.92
2020-02-04T21:30:00Z,380.33,390.24,380.33,387.34
2020-02-05T21:30:00Z,386.28,392.13,383.7,387.54
2020-02-06T21:30:00Z,387.86,389.71,384.68,386.36
2020-02-09T21:30:00Z,386.84,387.2,381.79,382.38
2020-02-10T21:30:00Z,382.78,387.63,382.78,384.34
2020-02-11T21:30:00Z,385.17,393.34,385.17,392.63
2020-02-12T21:30:00Z,392.56,395.7,389.79,394.38
2020-02-13T21:30:00Z,394.01,397.67,393.04,396.23
2020-02-17T21:30:00Z,396.23,398.55,392.89,398.12
2020-02-18T21:30:00Z,398.34,404.24,397.55,403.77
2020-02-19T21:30:00Z,403.64,406.61,402.89,403.07
2020-02-20T21:30:00Z,403.22,403.22,397.68,400.5
2020-02-23T21:30:00Z,400.54,400.54,385.55,389.7
2020-02-24T21:30:00Z,389.26,391.84,382.09,382.69
2020-02-25T21:30:00Z,382.82,384.14,374.62,375.93
2020-02-26T21:30:00Z,376.2,376.2,362.38,367.75
2020-02-27T21:30:00Z,367.9,367.9,354.09,359
2020-03-01T21:30:00Z,358.44,370.46,357.66,369.15
2020-03-02T21:30:00Z,368.82,378.28,368.51,371.46
2020-03-03T21:30:00Z,371.06,375.99,369.36,370.97
2020-03-04T21:30:00Z,370.11,373.48,364.56,365.22
2020-03-05T21:30:00Z,365.59,366.59,344.51,345.25
2020-03-08T20:30:00Z,345.53,345.7,290.89,305.42
2020-03-09T20:30:00Z,305.88,321.56,305.88,319.61
2020-03-10T20:30:00Z,319.54,327.77,311.81,312.57
2020-03-11T20:30:00Z,314.12,315.49,296.24,300.39
2020-03-12T20:30:00Z,300.68,311.7,295.84,298.95
2020-03-15T20:30:00Z,298.61,298.61,277.49,280.11
2020-03-16T20:30:00Z,279.13,285.61,273.5,274.15
2020-03-17T20:30:00Z,273.98,276.11,249.43,254.52
2020-03-18T20:30:00Z,251.02,274.64,251.02,269.74
2020-03-19T20:30:00Z,269.53,282.46,260.68,262.56
2020-03-22T20:30:00Z,261.59,264.73,254.42,264.02
2020-03-23T20:30:00Z,263.63,273.25,263.63,270.03
2020-03-24T20:30:00Z,270.58,275.9,266.61,274.28
2020-03-25T20:30:00Z,273.38,273.67,265.19,266.83
2020-03-26T20:30:00Z,266.17,268.54,259.68,261.91
2020-03-29T20:30:00Z,261.54,261.54,251.59,254.64
2020-03-30T20:30:00Z,254.64,260.58,254.17,255.47
2020-03-31T20:30:00Z,255.54,255.6,246.85,248.22
2020-04-01T20:30:00Z,247.12,279.55,247.12,263.16
2020-04-02T20:30:00Z,263.95,280.35,259.2,276.89
2020-04-05T20:30:00Z,275.44,277.27,267.43,272.02
2020-04-06T20:30:00Z,274.14,280.06,270.38,271.65
2020-04-07T20:30:00Z,273.7,280.61,273.36,278.44
2020-04-08T20:30:00Z,280.15,292.79,276.15,278.11
2020-04-12T20:30:00Z,279.99,286.59,277.09,280.63
2020-04-13T20:30:00Z,284.24,288.1,278,279.51
2020-04-14T20:30:00Z,278.54,280.97,269.18,271.2
2020-04-15T20:30:00Z,270.95,275.71,268.37,270.61
2020-04-16T20:30:00Z,270.66,275.49,269.73,270.89
2020-04-19T20:30:00Z,270.57,270.57,258.2,260.11
2020-04-20T20:30:00Z,258.69,264.44,217.95,230.21
2020-04-21T20:30:00Z,228.24,244.16,220.1,237.81
2020-04-22T20:30:00Z,236.8,251.49,235.39,244.56
2020-04-23T20:30:00Z,243.35,247.85,239.1,242.14
2020-04-26T20:30:00Z,241.45,241.75,227.95,231.01
2020-04-27T20:30:00Z,230.45,235.09,222.99,231.16
2020-04-28T20:30:00Z,239.97,250.59,239.97,245.99
2020-04-29T20:30:00Z,246.03,258.3,246.03,256.76
2020-04-30T20:30:00Z,257.04,261.51,252.09,256.41
2020-05-03T20:30:00Z,256.49,260.58,251.78,259.98
2020-05-04T20:30:00Z,259.09,274.57,259.09,274.1
2020-05-05T20:30:00Z,274.17,278.77,264.46,269.12
2020-05-06T20:30:00Z,270.12,280.22,268.83,270.88
