time,open,high,low,close,Volume,Volume MA,Accumulation/Distribution,RSI
2020-01-01T23:00:00Z,17.905,18.005,17.905,17.94,1585,NaN,-475.5,NaN
2020-01-02T00:00:00Z,17.94,17.96,17.915,17.94,803,NaN,-386.2777778,NaN
2020-01-02T01:00:00Z,17.94,17.965,17.87,17.885,5113,NaN,-3884.646199,NaN
2020-01-02T02:00:00Z,17.885,17.925,17.83,17.92,2724,NaN,-1447.383041,NaN
2020-01-02T03:00:00Z,17.92,17.935,17.895,17.91,668,NaN,-1614.383041,NaN
2020-01-02T04:00:00Z,17.91,17.915,17.885,17.895,388,NaN,-1743.716374,NaN
2020-01-02T05:00:00Z,17.895,17.92,17.885,17.905,1131,NaN,-1582.144946,NaN
2020-01-02T06:00:00Z,17.905,17.93,17.895,17.92,1290,NaN,-1029.287803,NaN
2020-01-02T07:00:00Z,17.92,17.925,17.895,17.895,1092,NaN,-2121.287803,NaN
2020-01-02T08:00:00Z,17.9,17.95,17.885,17.945,2257,NaN,-211.5185721,NaN
2020-01-02T09:00:00Z,17.945,17.975,17.935,17.945,1167,NaN,-795.0185721,NaN
2020-01-02T10:00:00Z,17.945,17.96,17.925,17.96,823,NaN,27.98142793,NaN
2020-01-02T11:00:00Z,17.965,17.975,17.945,17.96,1193,NaN,27.98142793,54.34782609
2020-01-02T12:00:00Z,17.96,17.98,17.945,17.965,1737,NaN,276.1242851,55.40540541
2020-01-02T13:00:00Z,17.97,18.15,17.965,18.125,14352,NaN,10749.20537,75.34445954
2020-01-02T14:00:00Z,18.125,18.145,17.985,18,13246,NaN,-13.16963385,54.55526743
2020-01-02T15:00:00Z,18,18.11,18,18.06,13760,NaN,1237.739457,60.29234046
2020-01-02T16:00:00Z,18.065,18.065,18.01,18.02,7240,NaN,-3369.53327,55.22222308
2020-01-02T17:00:00Z,18.02,18.065,17.99,18.06,6042,NaN,1866.86673,58.98483078
2020-01-02T18:00:00Z,18.06,18.07,18.035,18.05,4289,4045,1254.152444,57.66336785
2020-01-02T19:00:00Z,18.045,18.06,18.025,18.055,1357,4033.6,2223.438158,58.17447808
2020-01-02T20:00:00Z,18.055,18.085,18.05,18.06,1652,4076.05,1515.438158,58.71816123
2020-01-02T21:00:00Z,18.06,18.075,18.06,18.075,337,3837.25,1852.438158,60.40269582
2020-01-02T23:00:00Z,18.07,18.08,18.055,18.08,502,3726.15,2354.438158,60.98166697
2020-01-03T00:00:00Z,18.08,18.105,18.075,18.1,1182,3751.85,3142.438158,63.32183707
2020-01-03T01:00:00Z,18.1,18.185,18.065,18.145,5903,4027.6,5110.104825,68.02849726
2020-01-03T02:00:00Z,18.145,18.215,18.115,18.16,7446,4343.35,4365.504825,69.45387101
2020-01-03T03:00:00Z,18.16,18.2,18.14,18.165,2353,4396.5,3973.338158,69.94118057
2020-01-03T04:00:00Z,18.165,18.18,18.155,18.18,650,4374.4,4623.338158,71.43269623
2020-01-03T05:00:00Z,18.175,18.31,18.165,18.25,7210,4622.05,5866.441607,77.19378382
2020-01-03T06:00:00Z,18.245,18.27,18.21,18.215,3533,4740.35,2922.27494,69.54393185
2020-01-03T07:00:00Z,18.22,18.325,18.215,18.31,3095,4853.95,5173.184031,76.45338046
2020-01-03T08:00:00Z,18.31,18.32,18.215,18.225,3796,4984.1,2100.23165,62.59289412
2020-01-03T09:00:00Z,18.225,18.295,18.225,18.23,3945,5094.5,-1281.196922,63.02307608
2020-01-03T10:00:00Z,18.235,18.27,18.175,18.255,3425,4548.15,1062.224131,65.20563306
2020-01-03T11:00:00Z,18.25,18.26,18.215,18.235,2291,4000.4,807.6685756,62.01127203
2020-01-03T12:00:00Z,18.235,18.27,18.19,18.21,4404,3532.6,-1394.331424,58.12812553
2020-01-03T13:00:00Z,18.21,18.23,18.085,18.13,13043,3822.75,-6341.676252,47.70071319
2020-01-03T14:00:00Z,18.135,18.16,18.08,18.12,11317,4086.5,-6341.676252,46.56172848
2020-01-03T15:00:00Z,18.125,18.195,18.125,18.155,12374,4490.75,-8109.390538,51.02660866
2020-01-03T16:00:00Z,18.155,18.18,18.125,18.145,5779,4711.85,-9685.481447,49.73149048
2020-01-03T17:00:00Z,18.145,18.15,18.125,18.15,3914,4824.95,-5771.481447,50.41792008
2020-01-03T18:00:00Z,18.145,18.19,18.105,18.12,4791,5047.65,-8871.54027,46.28130248
2020-01-03T19:00:00Z,18.12,18.135,18.04,18.07,3529,5199,-10171.69817,40.27348208
2020-01-03T20:00:00Z,18.075,18.075,18.04,18.07,1644,5222.1,-8997.412451,40.27348208
2020-01-03T21:00:00Z,18.07,18.095,18.055,18.095,531,4953.5,-8466.412451,44.55612688
2020-01-05T23:00:00Z,18.17,18.345,18.17,18.215,6553,4908.85,-11649.29817,59.69094673
2020-01-06T00:00:00Z,18.21,18.255,18.19,18.225,2872,4934.8,-11428.37509,60.66703193
2020-01-06T01:00:00Z,18.225,18.55,18.225,18.505,14960,5650.3,-611.1443189,77.39041891
2020-01-06T02:00:00Z,18.505,18.51,18.465,18.48,4539,5516.75,-2124.144319,74.31288954
2020-01-06T03:00:00Z,18.475,18.51,18.46,18.485,1923,5436.25,-2124.144319,74.53384106
