time,open,high,low,close,Volume,Volume MA
2020-01-01T23:00:00Z,17.905,18.005,17.905,17.94,1585,NaN
2020-01-02T00:00:00Z,17.94,17.96,17.915,17.94,803,NaN
2020-01-02T01:00:00Z,17.94,17.965,17.87,17.885,5113,NaN
2020-01-02T02:00:00Z,17.885,17.925,17.83,17.92,2724,NaN
2020-01-02T03:00:00Z,17.92,17.935,17.895,17.91,668,NaN
2020-01-02T04:00:00Z,17.91,17.915,17.885,17.895,388,NaN
2020-01-02T05:00:00Z,17.895,17.92,17.885,17.905,1131,NaN
2020-01-02T06:00:00Z,17.905,17.93,17.895,17.92,1290,NaN
2020-01-02T07:00:00Z,17.92,17.925,17.895,17.895,1092,NaN
2020-01-02T08:00:00Z,17.9,17.95,17.885,17.945,2257,NaN
2020-01-02T09:00:00Z,17.945,17.975,17.935,17.945,1167,NaN
2020-01-02T10:00:00Z,17.945,17.96,17.925,17.96,823,NaN
2020-01-02T11:00:00Z,17.965,17.975,17.945,17.96,1193,NaN
2020-01-02T12:00:00Z,17.96,17.98,17.945,17.965,1737,NaN
2020-01-02T13:00:00Z,17.97,18.15,17.965,18.125,14352,NaN
2020-01-02T14:00:00Z,18.125,18.145,17.985,18,13246,NaN
2020-01-02T15:00:00Z,18,18.11,18,18.06,13760,NaN
2020-01-02T16:00:00Z,18.065,18.065,18.01,18.02,7240,NaN
2020-01-02T17:00:00Z,18.02,18.065,17.99,18.06,6042,NaN
2020-01-02T18:00:00Z,18.06,18.07,18.035,18.05,4289,4045
2020-01-02T19:00:00Z,18.045,18.06,18.025,18.055,1357,4033.6
2020-01-02T20:00:00Z,18.055,18.085,18.05,18.06,1652,4076.05
2020-01-02T21:00:00Z,18.06,18.075,18.06,18.075,337,3837.25
2020-01-02T23:00:00Z,18.07,18.08,18.055,18.08,502,3726.15
2020-01-03T00:00:00Z,18.08,18.105,18.075,18.1,1182,3751.85
2020-01-03T01:00:00Z,18.1,18.185,18.065,18.145,5903,4027.6
2020-01-03T02:00:00Z,18.145,18.215,18.115,18.16,7446,4343.35
2020-01-03T03:00:00Z,18.16,18.2,18.14,18.165,2353,4396.5
2020-01-03T04:00:00Z,18.165,18.18,18.155,18.18,650,4374.4
2020-01-03T05:00:00Z,18.175,18.31,18.165,18.25,7210,4622.05
2020-01-03T06:00:00Z,18.245,18.27,18.21,18.215,3533,4740.35
2020-01-03T07:00:00Z,18.22,18.325,18.215,18.31,3095,4853.95
2020-01-03T08:00:00Z,18.31,18.32,18.215,18.225,3796,4984.1
2020-01-03T09:00:00Z,18.225,18.295,18.225,18.23,3945,5094.5
2020-01-03T10:00:00Z,18.235,18.27,18.175,18.255,3425,4548.15
2020-01-03T11:00:00Z,18.25,18.26,18.215,18.235,2291,4000.4
2020-01-03T12:00:00Z,18.235,18.27,18.19,18.21,4404,3532.6
2020-01-03T13:00:00Z,18.21,18.23,18.085,18.13,13043,3822.75
2020-01-03T14:00:00Z,18.135,18.16,18.08,18.12,11317,4086.5
2020-01-03T15:00:00Z,18.125,18.195,18.125,18.155,12374,4490.75
2020-01-03T16:00:00Z,18.155,18.18,18.125,18.145,5779,4711.85
2020-01-03T17:00:00Z,18.145,18.15,18.125,18.15,3914,4824.95
2020-01-03T18:00:00Z,18.145,18.19,18.105,18.12,4791,5047.65
2020-01-03T19:00:00Z,18.12,18.135,18.04,18.07,3529,5199
2020-01-03T20:00:00Z,18.075,18.075,18.04,18.07,1644,5222.1
2020-01-03T21:00:00Z,18.07,18.095,18.055,18.095,531,4953.5
2020-01-05T23:00:00Z,18.17,18.345,18.17,18.215,6553,4908.85
2020-01-06T00:00:00Z,18.21,18.255,18.19,18.225,2872,4934.8
2020-01-06T01:00:00Z,18.225,18.55,18.225,18.505,14960,5650.3
2020-01-06T02:00:00Z,18.505,18.51,18.465,18.48,4539,5516.75
2020-01-06T03:00:00Z,18.475,18.51,18.46,18.485,1923,5436.25
