time,open,high,low,close,Volume,Volume MA
2019-12-23T16:30:00Z,12.64,12.71,12.63,12.69,NaN,NaN
2019-12-23T17:30:00Z,12.68,12.72,12.64,12.72,NaN,NaN
2019-12-23T18:30:00Z,12.73,12.79,12.66,12.73,NaN,NaN
2019-12-23T19:30:00Z,12.72,12.75,12.68,12.7,NaN,NaN
2019-12-23T20:30:00Z,12.69,12.82,12.61,12.61,NaN,NaN
2019-12-24T14:30:00Z,12.61,12.84,12.58,12.71,NaN,NaN
2019-12-24T15:30:00Z,12.7,12.71,12.58,12.6,NaN,NaN
2019-12-24T16:30:00Z,12.59,12.67,12.56,12.65,NaN,NaN
2019-12-24T17:30:00Z,12.64,12.7,12.61,12.67,NaN,NaN
2019-12-26T14:30:00Z,12.72,12.72,12.56,12.64,NaN,NaN
2019-12-26T15:30:00Z,12.63,12.69,12.59,12.68,NaN,NaN
2019-12-26T16:30:00Z,12.69,12.73,12.66,12.71,NaN,NaN
2019-12-26T17:30:00Z,12.7,12.7,12.59,12.61,NaN,NaN
2019-12-26T18:30:00Z,12.6,12.63,12.58,12.62,NaN,NaN
2019-12-26T19:30:00Z,12.63,12.66,12.58,12.6,NaN,NaN
2019-12-26T20:30:00Z,12.59,12.68,12.54,12.65,NaN,NaN
2019-12-27T14:30:00Z,12.7,13.31,12.69,13.18,NaN,NaN
2019-12-27T15:30:00Z,13.2,13.25,12.94,12.96,NaN,NaN
2019-12-27T16:30:00Z,12.98,13.32,12.94,13.32,NaN,NaN
2019-12-27T17:30:00Z,13.34,13.35,13.12,13.21,NaN,NaN
2019-12-27T18:30:00Z,13.23,13.3,13.21,13.22,NaN,NaN
2019-12-27T19:30:00Z,13.21,13.36,13.19,13.35,NaN,NaN
2019-12-27T20:30:00Z,13.36,13.72,13.34,13.43,NaN,NaN
2019-12-30T14:30:00Z,14.01,15.13,14.01,15.03,NaN,NaN
2019-12-30T15:30:00Z,15,15.14,14.56,14.58,NaN,NaN
2019-12-30T16:30:00Z,14.57,14.66,14.3,14.3,NaN,NaN
2019-12-30T17:30:00Z,14.29,14.55,14.19,14.55,NaN,NaN
2019-12-30T18:30:00Z,14.54,14.86,14.47,14.79,NaN,NaN
2019-12-30T19:30:00Z,14.82,14.94,14.67,14.68,NaN,NaN
2019-12-30T20:30:00Z,14.66,15.04,14.66,14.82,NaN,NaN
2019-12-31T14:30:00Z,15.32,15.39,14.75,15.13,NaN,NaN
2019-12-31T15:30:00Z,15.14,15.33,15.1,15.2,NaN,NaN
2019-12-31T16:30:00Z,15.21,15.36,15.11,15.25,NaN,NaN
2019-12-31T17:30:00Z,15.24,15.25,14.63,14.65,NaN,NaN
2019-12-31T18:30:00Z,14.64,14.64,14.2,14.2,NaN,NaN
2019-12-31T19:30:00Z,14.19,14.2,13.93,13.95,NaN,NaN
2019-12-31T20:30:00Z,13.98,14.18,13.75,13.78,NaN,NaN
2020-01-02T14:30:00Z,13.35,13.72,13.28,13.49,NaN,NaN
2020-01-02T15:30:00Z,13.47,13.57,13.11,13.15,NaN,NaN
2020-01-02T16:30:00Z,13.16,13.47,12.82,12.87,NaN,NaN
2020-01-02T17:30:00Z,12.83,12.88,12.69,12.85,NaN,NaN
2020-01-02T18:30:00Z,12.83,12.99,12.6,12.62,NaN,NaN
2020-01-02T19:30:00Z,12.63,12.69,12.57,12.62,NaN,NaN
2020-01-02T20:30:00Z,12.63,12.65,12.42,12.47,NaN,NaN
2020-01-03T14:30:00Z,14.96,14.96,13.71,13.75,NaN,NaN
2020-01-03T15:30:00Z,13.74,13.84,13.35,13.52,NaN,NaN
2020-01-03T16:30:00Z,13.51,13.51,13.13,13.35,NaN,NaN
2020-01-03T17:30:00Z,13.36,13.49,13.26,13.35,NaN,NaN
2020-01-03T18:30:00Z,13.37,14.09,13.35,13.74,NaN,NaN
2020-01-03T19:30:00Z,13.75,13.9,13.46,13.9,NaN,NaN
2020-01-03T20:30:00Z,13.91,14.25,13.89,14.02,NaN,NaN
2020-01-06T14:30:00Z,15.74,15.74,14.77,14.77,NaN,NaN
2020-01-06T15:30:00Z,14.76,14.85,14.39,14.57,NaN,NaN
2020-01-06T16:30:00Z,14.55,14.64,14.43,14.59,NaN,NaN
2020-01-06T17:30:00Z,14.58,14.58,14.28,14.28,NaN,NaN
2020-01-06T18:30:00Z,14.27,14.34,14.04,14.11,NaN,NaN
2020-01-06T19:30:00Z,14.1,14.16,13.93,14.01,NaN,NaN
2020-01-06T20:30:00Z,14.02,14.13,13.54,13.85,NaN,NaN
2020-01-07T14:30:00Z,14.21,14.46,13.88,13.95,NaN,NaN
2020-01-07T15:30:00Z,13.92,14.13,13.4,13.47,NaN,NaN
2020-01-07T16:30:00Z,13.45,13.82,13.45,13.65,NaN,NaN
2020-01-07T17:30:00Z,13.66,13.77,13.52,13.54,NaN,NaN
2020-01-07T18:30:00Z,13.55,13.73,13.46,13.64,NaN,NaN
2020-01-07T19:30:00Z,13.63,13.69,13.41,13.46,NaN,NaN
2020-01-07T20:30:00Z,13.45,13.85,13.45,13.79,NaN,NaN
2020-01-08T14:30:00Z,14.06,14.06,13.47,13.73,NaN,NaN
2020-01-08T15:30:00Z,13.75,14.06,13.18,13.18,NaN,NaN
2020-01-08T16:30:00Z,13.06,13.53,12.83,13.23,NaN,NaN
2020-01-08T17:30:00Z,13.22,13.34,13.18,13.23,NaN,NaN
2020-01-08T18:30:00Z,13.22,13.3,13.1,13.2,NaN,NaN
2020-01-08T19:30:00Z,13.18,13.27,12.86,12.86,NaN,NaN
2020-01-08T20:30:00Z,12.87,13.9,12.86,13.45,NaN,NaN
2020-01-09T14:30:00Z,12.98,13.2,12.91,13.04,NaN,NaN
2020-01-09T15:30:00Z,13.05,13.06,12.79,12.99,NaN,NaN
2020-01-09T16:30:00Z,12.97,13.1,12.76,13.06,NaN,NaN
2020-01-09T17:30:00Z,13.05,13.24,12.9,13.03,NaN,NaN
2020-01-09T18:30:00Z,13.01,13.01,12.83,12.87,NaN,NaN
2020-01-09T19:30:00Z,12.86,12.92,12.78,12.78,NaN,NaN
2020-01-09T20:30:00Z,12.77,12.81,12.53,12.54,NaN,NaN
2020-01-10T14:30:00Z,12.47,12.56,12.16,12.23,NaN,NaN
2020-01-10T15:30:00Z,12.24,12.35,12.09,12.35,NaN,NaN
2020-01-10T16:30:00Z,12.36,12.72,12.26,12.4,NaN,NaN
2020-01-10T17:30:00Z,12.39,12.41,12.18,12.23,NaN,NaN
2020-01-10T18:30:00Z,12.24,12.36,12.16,12.32,NaN,NaN
2020-01-10T19:30:00Z,12.33,12.67,12.33,12.49,NaN,NaN
2020-01-10T20:30:00Z,12.5,12.87,12.46,12.56,NaN,NaN
2020-01-13T14:30:00Z,12.86,13.09,12.74,12.83,NaN,NaN
2020-01-13T15:30:00Z,12.84,12.9,12.71,12.81,NaN,NaN
2020-01-13T16:30:00Z,12.82,12.84,12.54,12.57,NaN,NaN
2020-01-13T17:30:00Z,12.58,12.65,12.51,12.56,NaN,NaN
2020-01-13T18:30:00Z,12.57,12.6,12.45,12.46,NaN,NaN
2020-01-13T19:30:00Z,12.47,12.54,12.41,12.53,NaN,NaN
2020-01-13T20:30:00Z,12.54,12.54,12.32,12.32,NaN,NaN
2020-01-14T14:30:00Z,12.45,12.74,12.42,12.47,NaN,NaN
2020-01-14T15:30:00Z,12.45,12.49,12.26,12.3,NaN,NaN
2020-01-14T16:30:00Z,12.28,12.3,12.14,12.16,NaN,NaN
2020-01-14T17:30:00Z,12.14,12.14,12.05,12.09,NaN,NaN
2020-01-14T18:30:00Z,12.07,13.82,12.05,12.4,NaN,NaN
2020-01-14T19:30:00Z,12.42,12.71,12.22,12.63,NaN,NaN
2020-01-14T20:30:00Z,12.64,12.77,12.37,12.39,NaN,NaN
2020-01-15T14:30:00Z,12.61,12.61,12.35,12.39,NaN,NaN
2020-01-15T15:30:00Z,12.38,12.6,12.22,12.59,NaN,NaN
2020-01-15T16:30:00Z,12.6,12.67,12.39,12.45,NaN,NaN
2020-01-15T17:30:00Z,12.48,12.75,12.43,12.58,NaN,NaN
2020-01-15T18:30:00Z,12.57,12.78,12.43,12.44,NaN,NaN
2020-01-15T19:30:00Z,12.45,12.73,12.4,12.64,NaN,NaN
2020-01-15T20:30:00Z,12.63,12.79,12.42,12.42,NaN,NaN
2020-01-16T14:30:00Z,12.09,12.31,11.97,12.24,NaN,NaN
2020-01-16T15:30:00Z,12.23,12.3,12.14,12.2,NaN,NaN
2020-01-16T16:30:00Z,12.19,12.31,12.16,12.26,NaN,NaN
2020-01-16T17:30:00Z,12.27,12.28,12.2,12.23,NaN,NaN
2020-01-16T18:30:00Z,12.24,12.32,12.18,12.31,NaN,NaN
2020-01-16T19:30:00Z,12.32,12.36,12.2,12.21,NaN,NaN
2020-01-16T20:30:00Z,12.22,12.42,12.15,12.32,NaN,NaN
2020-01-17T14:30:00Z,12.17,12.28,12.07,12.14,NaN,NaN
2020-01-17T15:30:00Z,12.15,12.48,12.13,12.33,NaN,NaN
2020-01-17T16:30:00Z,12.32,12.32,12.12,12.16,NaN,NaN
2020-01-17T17:30:00Z,12.19,12.27,12.16,12.24,NaN,NaN
2020-01-17T18:30:00Z,12.25,12.25,12.15,12.2,NaN,NaN
2020-01-17T19:30:00Z,12.19,12.27,12.13,12.2,NaN,NaN
2020-01-17T20:30:00Z,12.19,12.21,12.02,12.1,NaN,NaN
2020-01-21T14:30:00Z,12.75,12.79,12.53,12.64,NaN,NaN
2020-01-21T15:30:00Z,12.61,12.66,12.44,12.44,NaN,NaN
2020-01-21T16:30:00Z,12.45,12.49,12.36,12.37,NaN,NaN
2020-01-21T17:30:00Z,12.38,12.77,12.32,12.77,NaN,NaN
2020-01-21T18:30:00Z,12.76,13.13,12.74,12.9,NaN,NaN
2020-01-21T19:30:00Z,12.89,13.04,12.62,12.74,NaN,NaN
2020-01-21T20:30:00Z,12.75,12.98,12.7,12.85,NaN,NaN
2020-01-22T14:30:00Z,12.58,12.58,12.37,12.39,NaN,NaN
2020-01-22T15:30:00Z,12.38,12.81,12.31,12.72,NaN,NaN
2020-01-22T16:30:00Z,12.7,12.89,12.58,12.83,NaN,NaN
2020-01-22T17:30:00Z,12.84,12.84,12.5,12.51,NaN,NaN
2020-01-22T18:30:00Z,12.52,12.64,12.47,12.59,NaN,NaN
2020-01-22T19:30:00Z,12.6,13.01,12.55,12.9,NaN,NaN
2020-01-22T20:30:00Z,12.91,12.91,12.68,12.91,NaN,NaN
2020-01-23T14:30:00Z,13.45,14.15,13.45,13.5,NaN,NaN
2020-01-23T15:30:00Z,13.45,13.99,13.3,13.97,NaN,NaN
2020-01-23T16:30:00Z,13.96,13.96,13.48,13.49,NaN,NaN
2020-01-23T17:30:00Z,13.48,13.7,13.34,13.43,NaN,NaN
2020-01-23T18:30:00Z,13.46,13.49,13.11,13.18,NaN,NaN
2020-01-23T19:30:00Z,13.17,13.28,13.1,13.13,NaN,NaN
2020-01-23T20:30:00Z,13.16,13.22,12.94,12.98,NaN,NaN
2020-01-24T14:30:00Z,12.77,13.63,12.69,13.63,NaN,NaN
2020-01-24T15:30:00Z,13.67,14.05,13.27,13.95,NaN,NaN
2020-01-24T16:30:00Z,13.94,15.73,13.84,15.32,NaN,NaN
2020-01-24T17:30:00Z,15.26,15.26,14.35,14.9,NaN,NaN
2020-01-24T18:30:00Z,14.92,15.98,14.92,15.81,NaN,NaN
2020-01-24T19:30:00Z,15.77,15.77,14.49,14.64,NaN,NaN
2020-01-24T20:30:00Z,14.65,15.57,14.47,14.56,NaN,NaN
2020-01-27T14:30:00Z,19.02,19.02,17.42,17.48,NaN,NaN
2020-01-27T15:30:00Z,17.46,18.27,17.43,17.85,NaN,NaN
2020-01-27T16:30:00Z,17.87,18.05,16.85,17.07,NaN,NaN
2020-01-27T17:30:00Z,17.03,17.24,16.82,16.9,NaN,NaN
2020-01-27T18:30:00Z,16.93,17.31,16.84,16.98,NaN,NaN
2020-01-27T19:30:00Z,16.97,17.67,16.94,17.5,NaN,NaN
2020-01-27T20:30:00Z,17.49,18.25,17.49,18.23,NaN,NaN
2020-01-28T14:30:00Z,16.95,17.44,16.22,16.33,NaN,NaN
2020-01-28T15:30:00Z,16.34,16.4,15.77,15.77,NaN,NaN
2020-01-28T16:30:00Z,15.79,15.88,15.69,15.8,NaN,NaN
2020-01-28T17:30:00Z,15.82,16.23,15.82,16.18,NaN,NaN
2020-01-28T18:30:00Z,16.19,16.34,15.88,15.99,NaN,NaN
2020-01-28T19:30:00Z,16,16.17,15.85,16.03,NaN,NaN
2020-01-28T20:30:00Z,16,16.38,15.99,16.28,NaN,NaN
2020-01-29T14:30:00Z,15.46,16.65,15.41,16.05,NaN,NaN
2020-01-29T15:30:00Z,16.06,16.09,15.6,15.62,NaN,NaN
2020-01-29T16:30:00Z,15.63,15.79,15.52,15.57,NaN,NaN
2020-01-29T17:30:00Z,15.56,15.73,15.5,15.51,NaN,NaN
2020-01-29T18:30:00Z,15.52,15.6,15.2,15.4,NaN,NaN
2020-01-29T19:30:00Z,15.37,16.26,15.35,15.81,NaN,NaN
2020-01-29T20:30:00Z,15.82,16.52,15.75,16.39,NaN,NaN
2020-01-30T14:30:00Z,17.7,17.7,17.02,17.42,NaN,NaN
2020-01-30T15:30:00Z,17.47,18.39,17.43,17.54,NaN,NaN
2020-01-30T16:30:00Z,17.55,17.66,17.09,17.54,NaN,NaN
2020-01-30T17:30:00Z,17.56,18.05,17.49,17.64,NaN,NaN
2020-01-30T18:30:00Z,17.65,17.71,17.19,17.23,NaN,NaN
2020-01-30T19:30:00Z,17.24,17.52,16.33,16.41,NaN,NaN
2020-01-30T20:30:00Z,16.43,16.43,15.3,15.49,NaN,NaN
2020-01-31T14:30:00Z,16.79,18.2,16.68,18.2,NaN,NaN
2020-01-31T15:30:00Z,18.23,18.77,17.97,18.4,NaN,NaN
2020-01-31T16:30:00Z,18.44,18.56,17.76,18.12,NaN,NaN
2020-01-31T17:30:00Z,18.15,19.19,18.15,18.93,NaN,NaN
2020-01-31T18:30:00Z,18.92,19.37,18.52,18.79,NaN,NaN
2020-01-31T19:30:00Z,18.78,19.42,18.39,19.37,NaN,NaN
2020-01-31T20:30:00Z,19.38,19.99,18.81,18.84,NaN,NaN
2020-02-03T14:30:00Z,18.16,18.18,17.1,17.15,NaN,NaN
2020-02-03T15:30:00Z,17.14,17.8,17.14,17.8,NaN,NaN
2020-02-03T16:30:00Z,17.81,18.48,17.79,17.88,NaN,NaN
2020-02-03T17:30:00Z,17.9,18.17,17.82,18.12,NaN,NaN
2020-02-03T18:30:00Z,18.1,18.26,17.88,18.04,NaN,NaN
2020-02-03T19:30:00Z,18.03,18.18,17.7,17.71,NaN,NaN
2020-02-03T20:30:00Z,17.68,18.13,17.62,17.97,NaN,NaN
2020-02-04T14:30:00Z,16.11,16.34,15.85,15.93,NaN,NaN
